INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Saint Mary's University of Minnesota,Winona,MN,www.smumn.edu,0.7424,0.742398164,1067,23,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,39736
St Olaf College,Northfield,MN,wp.stolaf.edu,0.5128,0.512820513,1292,29,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,51860
Crown College,Saint Bonifacius,MN,www.crown.edu,0.284,0.283965015,1016,22,0,0,0,0,2,0,1,0,1,0,0,1,0,1,1,2,0,1,0,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0,1,1,2,1,34943
The College of Saint Scholastica,Duluth,MN,www.css.edu,0.6618,0.661817102,1106,24,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,2,2,1,42355
University of St Thomas,Saint Paul,MN,www.stthomas.edu,0.8662,0.866180049,949,20,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,47616
Empire Beauty School-Bloomington,Bloomington,MN,www.empire.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
St Catherine University,Saint Paul,MN,www.stkate.edu,0.6721,0.672070247,1032,22,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,43101
Rasmussen College-Minnesota,St. Cloud,MN,rasmussen.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,23189
Saint Paul College,Saint Paul,MN,www.saintpaul.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18228
Southwest Minnesota State University,Marshall,MN,www.smsu.edu,0.6694,0.669385536,990,21,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,19028
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,WWW.SAOIC.ORG,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
United Theological Seminary of the Twin Cities,New Brighton,MN,www.unitedseminary.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Vermilion Community College,Ely,MN,www.vcc.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15108
Dunwoody College of Technology,Minneapolis,MN,www.dunwoody.edu,0.724,0.7239819,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,31433
Ridgewater College,Willmar,MN,www.ridgewater.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13564
Minnesota State College-Southeast Technical,Winona,MN,www.southeastmn.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18818
Winona State University,Winona,MN,www.winona.edu,0.6304,0.630370475,1050,23,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,20574
William Mitchell College of Law,Saint Paul,MN,www.wmitchell.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Century College,White Bear Lake,MN,www.century.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12774
Alcorn State University,Alcorn State,MS,www.alcorn.edu,0.7844,0.784408085,872,18,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,21116
Belhaven University,Jackson,MS,www.belhaven.edu,0.7169,0.716872792,NULL,NULL,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,2,1,2,2,1,0,2,0,1,1,0,0,0,0,1,2,2,1,31730
Blue Mountain College,Blue Mountain,MS,www.bmc.edu,0.5503,0.55033557,1030,22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2,1,17198
Chris Beauty College,Gulfport,MS,www.chrisbeautycollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Coahoma Community College,Clarksdale,MS,www.coahomacc.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7996
Antonelli College-Jackson,Jackson,MS,www.antonellicollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25643
Copiah-Lincoln Community College,Wesson,MS,www.colin.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8297
Creations College of Cosmetology,Tupelo,MS,www.creationscosmetology.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Delta Beauty College,Greenville,MS,deltabeautyschool.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Delta State University,Cleveland,MS,www.deltastate.edu,0.9234,0.923387097,968,21,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,2,1,1,1,1,18887
East Central Community College,Decatur,MS,www.eccc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10273
East Mississippi Community College,Scooba,MS,www.eastms.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10176
Fosters Cosmetology College,Ripley,MS,www.fosters.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Academy of Hair Design-Grenada,Grenada,MS,www.academyofhair.com/grenada-campus,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Hinds Community College,Raymond,MS,www.hindscc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8167
Holmes Community College,Goodman,MS,www.holmescc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9975
Itawamba Community College,Fulton,MS,www.iccms.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10894
Jackson State University,Jackson,MS,www.jsums.edu,0.7047,0.704724409,911,19,0,0,0,0,1,0,1,0,2,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,19803
Jones County Junior College,Ellisville,MS,www.jcjc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10178
Meridian Community College,Meridian,MS,www.meridiancc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11272
Millsaps College,Jackson,MS,www.millsaps.edu,0.5718,0.571828032,1178,26,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,46491
Mississippi Delta Community College,Moorhead,MS,www.msdelta.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7999
University of Mississippi,University,MS,www.olemiss.edu,0.8122,0.812185579,1098,24,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,2,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,22444
Mississippi University for Women,Columbus,MS,www.muw.edu,0.9361,0.936111111,988,21,0,0,0,0,2,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,2,1,0,0,0,0,1,2,2,1,16299
Mississippi Valley State University,Itta Bena,MS,www.mvsu.edu,0.1633,0.163291966,825,17,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,19331
Mississippi College,Clinton,MS,www.mc.edu,0.6304,0.630414313,1120,25,0,0,0,0,2,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,2,1,1,0,0,0,0,1,2,1,1,27468
Mississippi College of Beauty Culture,Laurel,MS,hatfieldsinc.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Mississippi Gulf Coast Community College,Perkinston,MS,https://www.mgccc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12535
Mississippi State University,Mississippi State,MS,www.msstate.edu,0.7102,0.710198774,1126,25,1,2,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,21581
Northeast Mississippi Community College,Booneville,MS,www.nemcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11358
Northwest Mississippi Community College,Senatobia,MS,www.northwestms.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10720
Pearl River Community College,Poplarville,MS,www.prcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6171
Rust College,Holly Springs,MS,www.rustcollege.edu,0.3885,0.388514165,760,16,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,15284
Southeastern Baptist College,Laurel,MS,www.southeasternbaptist.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8083
Southwest Mississippi Community College,Summit,MS,www.smcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023
University of Southern Mississippi,Hattiesburg,MS,www.usm.edu,0.6674,0.667350427,1029,22,0,0,1,1,1,0,1,0,2,1,2,1,1,1,1,0,2,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,19493
Magnolia College of Cosmetology,Jackson,MS,www.mcocjackson.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Tougaloo College,Tougaloo,MS,www.tougaloo.edu,0.403,0.402979224,864,18,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,20503
Wesley Biblical Seminary,Jackson,MS,www.wbs.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
William Carey University,Hattiesburg,MS,www.wmcarey.edu,0.5042,0.504191617,1080,24,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,24941
Aquinas Institute of Theology,Saint Louis,MO,www.ai.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Assemblies of God Theological Seminary,Springfield,MO,www.agts.edu,NULL,0.645316253,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Avila University,Kansas City,MO,www.Avila.edu,0.5198,0.519758507,1038,23,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,2,1,36178
ITT Technical Institute-Earth City,Earth City,MO,www.itt-tech.edu,0.6196,0.853611521,NULL,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27486
Baptist Bible College,Springfield,MO,www.gobbc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,17281
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,kc-hair.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Cox College,Springfield,MO,www.coxcollege.edu,0.5455,0.545454545,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18972
Calvary Bible College and Theological Seminary,Kansas City,MO,www.calvary.edu,1,1,1014,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,17891
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,www.capectc.org,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Central Christian College of the Bible,Moberly,MO,www.cccb.edu,0.424,0.423963134,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24213
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,www.centralmethodist.edu/,0.6053,0.605348989,1050,23,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,32970
University of Central Missouri,Warrensburg,MO,www.ucmo.edu,0.7795,0.779488291,1010,22,1,0,0,1,1,1,1,0,2,0,2,1,1,0,1,2,1,1,1,0,1,1,1,0,1,0,1,2,1,1,0,0,0,1,1,2,1,1,18112
Grand River Technical School,Chillicothe,MO,www.grts.org,0.7662,0.766233766,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Chillicothe Beauty Academy Inc,Chillicothe,MO,www.chillicothebeautyacademy.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Cleveland University-Kansas City,Overland Park,KS,www.cleveland.edu,1,1,1050,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Columbia Area Career Center,Columbia,MO,www.career-center.org,0.9474,0.947368421,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Columbia College,Columbia,MO,www.ccis.edu,NULL,NULL,NULL,NULL,0,1,0,2,1,0,2,0,0,0,0,0,0,0,2,2,0,1,1,0,1,2,1,0,1,0,2,2,2,2,0,0,0,0,1,2,2,2,17312
Conception Seminary College,Conception,MO,www.conception.edu,1,1,1105,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31890
Concordia Seminary,Saint Louis,MO,www.csl.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Cottey College,Nevada,MO,www.cottey.edu,0.7063,0.706278027,1019,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,29170
Covenant Theological Seminary,Saint Louis,MO,www.covenantseminary.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Crowder College,Neosho,MO,www.crowder.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9166
Culver-Stockton College,Canton,MO,www.culver.edu,0.5772,0.577150084,986,21,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,1,2,1,34565
Drury University,Springfield,MO,www.drury.edu,0.7441,0.744122966,1185,26,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,2,0,1,1,0,0,1,1,0,1,0,2,2,2,2,0,0,0,0,1,2,2,1,33480
East Central College,Union,MO,www.eastcentral.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11081
Eden Theological Seminary,Webster Groves,MO,www.eden.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Elaine Steven Beauty College,Saint Louis,MO,www.elainestevenbeautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Pinnacle Career Institute-South Kansas City,Kansas City,MO,PCITRAINING.EDU,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24907
Evangel University,Springfield,MO,www.evangel.edu,0.6453,0.645316253,1055,23,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,2,1,32183
Fontbonne University,Saint Louis,MO,www.fontbonne.edu,0.9061,0.906122449,1052,23,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,32882
Forest Institute of Professional Psychology,Springfield,MO,www.forest.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Four Rivers Career Center,Washington,MO,frcc-sdow-mo.schoolloop.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23423
Ozarks Technical Community College,Springfield,MO,www.otc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11454
Hannibal-LaGrange University,Hannibal,MO,www.hlg.edu,0.6118,0.611790879,NULL,NULL,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,2,1,1,29079
Harris-Stowe State University,Saint Louis,MO,www.hssu.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,14587
Hickey College,Saint Louis,MO,www.hickeycollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20955
House of Heavilin Beauty College-Kansas City,Kansas City,MO,kc-hair.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Independence College of Cosmetology,Independence,MO,www.hair-skin-nails.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Jefferson College,Hillsboro,MO,www.jeffco.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10434
Paul Mitchell the School-Missouri Columbia,Columbia,MO,missouricolumbia.paulmitchell.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,www.barnesjewishcollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NULL
Kansas City Art Institute,Kansas City,MO,www.kcai.edu,0.5997,0.599673203,1086,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48454
Kenrick Glennon Seminary,Saint Louis,MO,www.kenrick.edu,1,1,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31995
A T Still University of Health Sciences,Kirksville,MO,WWW.ATSU.EDU,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Lake Career and Technical Center,Camdenton,MO,camdentonschools.schoolwires.net/lctc,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625
Lex La-Ray Technical Center,Lexington,MO,www.lexlaray.com,1,1,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Lincoln University,Jefferson City,MO,www.lincolnu.edu/,NULL,NULL,NULL,NULL,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,2,1,1,15202
Lindenwood University,Saint Charles,MO,www.lindenwood.edu,0.5288,0.528835691,1038,23,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,1,1,1,0,1,2,1,1,0,0,0,0,1,1,2,1,30929
State Technical College of Missouri,Linn,MO,www.statetechmo.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15612
